category_id,category_name,description,picture,region_id,region_description
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",\x,1,Eastern
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",\x,2,Western
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",\x,3,Northern
2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",\x,4,Southern
4,Dairy Products,Cheeses,\x,1,Eastern
4,Dairy Products,Cheeses,\x,2,Western
4,Dairy Products,Cheeses,\x,3,Northern
4,Dairy Products,Cheeses,\x,4,Southern
6,Meat/Poultry,Prepared meats,\x,1,Eastern
6,Meat/Poultry,Prepared meats,\x,2,Western
6,Meat/Poultry,Prepared meats,\x,3,Northern
6,Meat/Poultry,Prepared meats,\x,4,Southern
8,Seafood,Seaweed and fish,\x,1,Eastern
8,Seafood,Seaweed and fish,\x,2,Western
8,Seafood,Seaweed and fish,\x,3,Northern
8,Seafood,Seaweed and fish,\x,4,Southern
10,Swords,A ceremonial sword used for knighting rituals. Not made for combat.,\x,1,Eastern
10,Swords,A ceremonial sword used for knighting rituals. Not made for combat.,\x,2,Western
10,Swords,A ceremonial sword used for knighting rituals. Not made for combat.,\x,3,Northern
10,Swords,A ceremonial sword used for knighting rituals. Not made for combat.,\x,4,Southern
12,Spears,A ceremonial spear used by the church. God knows what for.,\x,1,Eastern
12,Spears,A ceremonial spear used by the church. God knows what for.,\x,2,Western
12,Spears,A ceremonial spear used by the church. God knows what for.,\x,3,Northern
12,Spears,A ceremonial spear used by the church. God knows what for.,\x,4,Southern
